DaystoShipActual	SalesForecast	ShipStatus	DaystoShipScheduled	SalesperCustomer	ProfitRatio	Category	City	Country/Region	CustomerName	Discount	NumberofRecords	OrderDate	Order ID	Person	PostalCode	ProductName	Profit	Quantity	Region	Returned	ProfitperOrder	 Sales 	Segment	ShipDate	ShipMode	State	SubCategory
3	$392 	Shipped On Time	3	$261.96 	16.00%	Furniture	Henderson	United States	Claire Gute	0.00%	1	11/8/2018	CA-2018-152156	Cassandra Brandow	42420	Bush Somerset Collection Bookcase	$42 	2	South		$41.91 	 $262.00 	Consumer	11/11/2018	Second Class	Kentucky	Bookcases
3	"$1,096 "	Shipped On Time	3	$731.94 	30.00%	Furniture	Henderson	United States	Claire Gute	0.00%	1	11/8/2018	CA-2018-152156	Cassandra Brandow	42420	"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"	$220 	3	South		$219.58 	 $732.00 	Consumer	11/11/2018	Second Class	Kentucky	Chairs
4	$22 	Shipped Late	3	$14.62 	47.00%	Office Supplies	Los Angeles	United States	Darrin Van Huff	0.00%	1	6/12/2018	CA-2018-138688	Anna Andreadi	90036	Self-Adhesive Address Labels for Typewriters by Universal	$7 	2	West		$6.87 	$15 	Corporate	6/16/2018	Second Class	California	Labels
7	"$1,434 "	Shipped Late	6	$957.58 	-40.00%	Furniture	Fort Lauderdale	United States	Sean O'Donnell	45.00%	1	10/11/2017	US-2017-108966	Cassandra Brandow	33311	Bretford CR4500 Series Slim Rectangular Table	($383)	5	South		($383.03)	 $958.00 	Consumer	10/18/2017	Standard Class	Florida	Tables
7	$33 	Shipped Late	6	$22.37 	11.30%	Office Supplies	Fort Lauderdale	United States	Sean O'Donnell	20.00%	1	10/11/2017	US-2017-108966	Cassandra Brandow	33311	Eldon Fold 'N Roll Cart System	$3 	2	South		$2.52 	$22 	Consumer	10/18/2017	Standard Class	Florida	Storage
5	$73 	Shipped Early	6	$48.86 	29.00%	Furniture	Los Angeles	United States	Brosina Hoffman	0.00%	1	6/9/2016	CA-2016-115812	Anna Andreadi	90032	"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"	$14 	7	West		$14.17 	 $49.00 	Consumer	6/14/2016	Standard Class	California	Furnishings
5	$11 	Shipped Early	6	$7.28 	27.00%	Office Supplies	Los Angeles	United States	Brosina Hoffman	0.00%	1	6/9/2016	CA-2016-115812	Anna Andreadi	90032	Newell 322	$2 	4	West		$1.97 	$7 	Consumer	6/14/2016	Standard Class	California	Art
5	"$1,359 "	Shipped Early	6	$907.15 	10.00%	Technology	Los Angeles	United States	Brosina Hoffman	20.00%	1	6/9/2016	CA-2016-115812	Anna Andreadi	90032	Mitel 5320 IP Phone VoIP phone	$91 	6	West		$90.72 	$907 	Consumer	6/14/2016	Standard Class	California	Phones
5	$28 	Shipped Early	6	$18.50 	31.30%	Office Supplies	Los Angeles	United States	Brosina Hoffman	20.00%	1	6/9/2016	CA-2016-115812	Anna Andreadi	90032	DXL Angle-View Binders with Locking Rings by Samsill	$6 	3	West		$5.78 	$19 	Consumer	6/14/2016	Standard Class	California	Binders
5	$172 	Shipped Early	6	$114.90 	30.00%	Office Supplies	Los Angeles	United States	Brosina Hoffman	0.00%	1	6/9/2016	CA-2016-115812	Anna Andreadi	90032	Belkin F5C206VTEL 6 Outlet Surge	$34 	5	West		$34.47 	$115 	Consumer	6/14/2016	Standard Class	California	Appliances
