DaystoShipActual,SalesForecast,ShipStatus,DaystoShipScheduled,SalesperCustomer,ProfitRatio,Category,City,Country/Region,CustomerName,Discount,NumberofRecords,OrderDate,Order ID,Person,PostalCode,ProductName,Profit,Quantity,Region,Returned,ProfitperOrder,Sales,Segment,ShipDate,ShipMode,State,SubCategory
3,392.00,Shipped On Time,3.00,261.96,0.16,Furniture,Henderson,United States,Claire Gute,0.00,1,11/8/2018,CA-2018-152156,Cassandra Brandow,42420,Bush Somerset Collection Bookcase,42.00,2.00,South,,41.91,262.00,Consumer,11/11/2018,Second Class,Kentucky,Bookcases
3,1096.00,Shipped On Time,3.00,731.94,0.30,Furniture,Henderson,United States,Claire Gute,0.00,1,11/8/2018,CA-2018-152156,Cassandra Brandow,42420,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",220.00,3.00,South,,219.58,732.00,Consumer,11/11/2018,Second Class,Kentucky,Chairs
4,22.00,Shipped Late,3.00,14.62,0.47,Office Supplies,Los Angeles,United States,Darrin Van Huff,0.00,1,6/12/2018,CA-2018-138688,Anna Andreadi,90036,Self-Adhesive Address Labels for Typewriters by Universal,7.00,2.00,West,,6.87,15.00,Corporate,6/16/2018,Second Class,California,Labels
7,1434.00,Shipped Late,6.00,957.58,-0.40,Furniture,Fort Lauderdale,United States,Sean O'Donnell,0.45,1,10/11/2017,US-2017-108966,Cassandra Brandow,33311,Bretford CR4500 Series Slim Rectangular Table,-383.00,5.00,South,,-383.03,958.00,Consumer,10/18/2017,Standard Class,Florida,Tables
7,33.00,Shipped Late,6.00,22.37,0.11,Office Supplies,Fort Lauderdale,United States,Sean O'Donnell,0.20,1,10/11/2017,US-2017-108966,Cassandra Brandow,33311,Eldon Fold 'N Roll Cart System,3.00,2.00,South,,2.52,22.00,Consumer,10/18/2017,Standard Class,Florida,Storage
5,73.00,Shipped Early,6.00,48.86,0.29,Furniture,Los Angeles,United States,Brosina Hoffman,0.00,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",14.00,7.00,West,,14.17,49.00,Consumer,6/14/2016,Standard Class,California,Furnishings
5,11.00,Shipped Early,6.00,7.28,0.27,Office Supplies,Los Angeles,United States,Brosina Hoffman,0.00,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,Newell 322,2.00,4.00,West,,1.97,7.00,Consumer,6/14/2016,Standard Class,California,Art
5,1359.00,Shipped Early,6.00,907.15,0.10,Technology,Los Angeles,United States,Brosina Hoffman,0.20,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,Mitel 5320 IP Phone VoIP phone,91.00,6.00,West,,90.72,907.00,Consumer,6/14/2016,Standard Class,California,Phones
5,28.00,Shipped Early,6.00,18.50,0.31,Office Supplies,Los Angeles,United States,Brosina Hoffman,0.20,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,DXL Angle-View Binders with Locking Rings by Samsill,6.00,3.00,West,,5.78,19.00,Consumer,6/14/2016,Standard Class,California,Binders
5,172.00,Shipped Early,6.00,114.90,0.30,Office Supplies,Los Angeles,United States,Brosina Hoffman,0.00,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,Belkin F5C206VTEL 6 Outlet Surge,34.00,5.00,West,,34.47,115.00,Consumer,6/14/2016,Standard Class,California,Appliances
5,2555.00,Shipped Early,6.00,1706.18,0.05,Furniture,Los Angeles,United States,Brosina Hoffman,0.20,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,Chromcraft Rectangular Conference Tables,85.00,9.00,West,,85.31,1706.00,Consumer,6/14/2016,Standard Class,California,Tables
5,1365.00,Shipped Early,6.00,911.42,0.08,Technology,Los Angeles,United States,Brosina Hoffman,0.20,1,6/9/2016,CA-2016-115812,Anna Andreadi,90032,Konftel 250 Conference phone - Charcoal black,68.00,4.00,West,,68.36,911.00,Consumer,6/14/2016,Standard Class,California,Phones
5,23.00,Shipped Early,6.00,15.55,0.35,Office Supplies,Concord,United States,Andrew Allen,0.20,1,4/15/2019,CA-2019-114412,Cassandra Brandow,28027,Xerox 1967,5.00,3.00,South,,5.44,16.00,Consumer,4/20/2019,Standard Class,North Carolina,Paper
5,611.00,Shipped Early,6.00,407.98,0.33,Office Supplies,Seattle,United States,Irene Maddox,0.20,1,12/5/2018,CA-2018-161389,Anna Andreadi,98103,Fellowes PB200 Plastic Comb Binding Machine,133.00,3.00,West,,132.59,408.00,Consumer,12/10/2018,Standard Class,Washington,Binders
4,103.00,Shipped Early,6.00,68.81,-1.80,Office Supplies,Fort Worth,United States,Harold Pawlan,0.80,1,11/22/2017,US-2017-118983,Kelly Williams,76106,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",-124.00,5.00,Central,,-123.86,69.00,Home Office,11/26/2017,Standard Class,Texas,Appliances
4,4.00,Shipped Early,6.00,2.54,-1.50,Office Supplies,Fort Worth,United States,Harold Pawlan,0.80,1,11/22/2017,US-2017-118983,Kelly Williams,76106,Storex DuraTech Recycled Plastic Frosted Binders,-4.00,3.00,Central,,-3.82,3.00,Home Office,11/26/2017,Standard Class,Texas,Binders
7,997.00,Shipped Late,6.00,665.88,0.02,Office Supplies,Madison,United States,Pete Kriz,0.00,1,11/11/2016,CA-2016-105893,Kelly Williams,53711,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",13.00,6.00,Central,,13.32,666.00,Consumer,11/18/2016,Standard Class,Wisconsin,Storage
